"V1" "V2" "V3" "V4"
"1" -0.0980875494053203 -0.342040995699616 0 0.00248912212364385
"2" -0.332170558648652 -0.859082496917257 0.000522532213845667 0.0102217208763776
"3" -0.264894255734638 -0.677245747973494 0 0.00727357278760034
"4" -0.0912224440725789 -0.330475710826951 0 0.00170740323109632
"5" -0.0804606997884078 -0.292642368405997 0 0.0019975295491528
"6" -0.134800963972834 -0.382934585108178 0 0.00289011407347229
"7" -0.0659198560778963 -0.179502355612487 0 0.00103641849170961
"8" -0.175663442248295 -0.653734774905479 0 0.00512065092265898
"9" -0.222465939657641 -0.10234726501858 0 0.00014540725398721
"10" -0.387209393395791 -0.421423314222798 0 0.00436563871963126
"11" -0.35183136977405 -0.276227465440761 0 0.00236172601256207
"12" -0.128629823608579 -0.459579079531781 0 0.00317095216988885
"13" -0.120793130818874 -0.457847467128756 0 0.00275113649711253
"14" -0.312187567150406 -0.737119306188004 0 0.00837537147734996
"15" -0.129258351592006 -0.391007629501761 0 0.00300638221446455
"16" -0.246867238603498 -0.738867870674065 0 0.00746780699360467
"17" -0.0683907465344305 -0.198990702451485 0 0.00115350564691486
"18" -0.195536485970948 -0.675631782097382 0 0.00573661399093807
"19" -0.107959575552876 -0.0977344012471603 0 0.000165164460821933
"20" -0.358290784495841 -0.455745761431584 0 0.00466181751457419
"21" -0.0797903790798917 -0.230224822894465 0 0.00120945408787333
"22" -0.300652090943444 -0.313303940497593 0 0.00244334489839588
"23" -0.263651372192475 -0.732128463070945 0 0.00810271985534354
"24" -0.145871227710135 -0.530801509119171 0 0.0036996946261096
"25" -0.104649910393044 -0.41306256602616 0 0.00247890571425401
"26" -0.267982129193031 -0.256449797326144 0 0.0017412506772628
"27" -0.113159133707723 -0.484517655988582 0 0.00283948485661667
"28" -0.247226623320781 -0.661937032521944 0 0.00668569628047964
"29" -0.336250175044772 -0.382109900827763 0 0.00355597412375847
"30" -0.035491370055895 -0.140377743344617 0 0.000801166853026717
"31" -0.262047923345983 -0.171610895458618 0 0.000829937456042629
"32" -0.124406681676552 -0.110563143939947 0 0.000338854657414039
"33" -0.0392319241264368 -0.100826699044081 0 0.000490824248030045
"34" -0.0929900393067366 -0.322930831445243 0 0.00230184341702203
"35" -0.308413549431671 -0.854192247396586 0.000193044935180546 0.00979979290468428
"36" -0.290288692777043 -0.822991492724265 0 0.00911832306563149
"37" -0.364327205680399 -0.62460691659528 0 0.00705276638557665
"38" -0.00175428728007306 -0.0252900587295034 0 7.99456259646873e-05
"39" -0.287123098750486 -0.120030682899382 0 0.000447742410142669
"40" -0.214652074597351 -0.161568472280103 0 0.000683460716416648
